srcIP,dstIp,srcPort,dstPort,numPackets,totalSize
204.14.234.85,192.168.3.131,80,57229,2,120
192.168.3.131,204.14.234.85,57229,80,2,108
66.235.136.89,192.168.3.131,8443,57250,5,1014
192.168.3.131,66.235.136.89,57250,8443,8,5656
204.14.234.101,192.168.3.131,8443,57231,5,3413
192.168.3.131,192.168.3.1,58673,53,2,178
192.168.3.131,192.168.3.1,60629,53,2,156
204.14.234.101,192.168.3.131,443,57231,5,3413
192.168.3.131,204.14.234.101,57231,443,6,3464
192.168.3.131,204.14.234.85,57249,443,7,4472
192.168.3.131,66.235.136.89,57250,443,8,5656
172.16.255.1,172.16.0.1,63805,5351,2,108
204.9.163.158,172.16.255.1,80,10714,5,581
172.16.255.1,204.9.163.158,10714,80,5,347
70.37.129.34,10.0.2.15,5480,2554,10,6941
70.37.129.34,10.0.2.15,5480,2553,11,7395
207.46.216.54,192.168.3.131,5480,57191,1,60
192.168.3.131,207.46.216.54,57191,5480,2,108
207.46.216.54,192.168.3.131,80,57191,1,60
192.168.3.131,207.46.216.54,57191,80,2,108
10.0.2.15,70.37.129.32,2552,5480,10,1372
172.16.255.1,67.215.65.132,10705,445,3,194
204.9.163.166,192.168.3.131,80,58831,4,458
192.168.3.131,204.9.163.166,58831,80,5,581
192.168.3.131,208.82.236.129,58830,80,5,878
204.14.234.85,192.168.3.131,8443,57248,59,55038
204.14.234.85,192.168.3.131,8443,57247,44,36432
192.168.3.131,204.14.234.85,57247,8443,36,23898
204.14.234.85,192.168.3.131,443,57248,59,55038
204.14.234.85,192.168.3.131,443,57247,44,36432
70.37.129.34,10.0.2.15,5480,2551,11,7689
208.50.77.97,192.168.3.131,5480,57174,1,60
65.55.206.9,192.168.3.131,5480,57176,1,60
65.55.15.244,192.168.3.131,5480,57180,1,60
192.168.3.131,65.55.206.9,57176,5480,2,108
192.168.3.131,65.55.15.244,57180,5480,2,108
208.50.77.97,192.168.3.131,80,57174,1,60
65.55.206.9,192.168.3.131,80,57176,1,60
192.168.3.131,208.50.77.97,57174,80,2,108
192.168.3.131,65.55.206.9,57176,80,2,108
192.168.3.131,65.55.15.244,57180,80,2,108
204.14.234.85,192.168.3.131,8443,57245,73,72711
10.0.2.15,70.37.129.34,2553,5480,9,1369
192.168.3.131,204.14.234.85,57246,8443,48,34093
204.14.234.85,192.168.3.131,443,57246,59,45356
204.14.234.85,192.168.3.131,443,57245,73,72711
192.168.3.131,204.14.234.85,57246,443,48,34093
69.126.180.28,172.16.255.1,443,50983,1,68
67.64.157.145,172.16.255.1,58164,50983,1,68
172.16.255.1,188.17.181.29,50983,443,1,60
172.16.255.1,66.209.190.84,50983,7457,1,70
172.16.255.1,67.84.50.244,50983,37499,1,60
172.16.255.1,188.163.1.229,50983,50709,1,60
172.16.255.1,67.64.157.145,50983,58164,1,60
204.9.163.166,192.168.3.131,80,58795,5,518
192.168.3.131,204.9.163.166,58795,80,6,635
192.168.3.131,208.82.236.130,58794,80,7,833
208.82.236.130,192.168.3.131,80,58793,9,8002
192.168.3.131,204.14.234.85,57229,5480,2,108
192.168.3.131,208.82.236.130,58793,80,6,779
209.17.73.30,192.168.3.131,80,58789,144,210117
114.46.144.25,172.16.255.1,29080,50983,1,60
192.168.3.131,72.14.213.102,52207,443,6,518
192.168.3.131,206.108.207.163,56049,80,4,768
10.0.2.15,65.54.189.173,2528,1863,43,7341
64.4.9.254,10.0.2.15,1863,2527,9,757
65.54.186.19,10.0.2.15,443,2526,33,21949
66.235.139.121,192.168.3.131,80,56401,5,1701
10.0.2.15,64.4.9.254,2527,1863,8,580
10.0.2.3,10.0.2.15,53,49796,2,868
192.168.3.131,255.255.255.255,68,67,1,342
10.0.2.15,65.54.186.19,2526,443,21,5800
192.168.3.131,208.50.77.136,57121,5480,2,108
10.0.2.15,10.0.2.3,49796,53,2,162
184.85.226.161,172.16.255.1,443,10691,6,1015
172.16.255.1,88.203.161.148,50983,13899,1,82
192.168.3.131,65.54.95.68,56255,80,7,1050
192.168.3.131,72.14.213.103,57880,80,2,108
65.54.95.142,192.168.3.131,80,55973,26,34632
172.16.255.1,130.117.72.100,10638,443,170,9525
65.54.95.39,192.168.3.131,80,56059,12,7352
192.168.3.131,65.54.95.39,56326,80,9,1548
192.168.3.131,65.54.95.68,56406,80,10,3360
192.168.3.131,208.82.236.130,58417,80,8,887
192.168.3.131,208.82.236.129,58304,80,6,891
172.16.255.1,204.9.163.184,10637,443,10,1149
72.14.213.103,192.168.3.131,80,57896,2,120
172.16.255.1,184.85.226.161,10647,443,45,18331
212.8.166.36,172.16.255.1,443,10636,27,4547
192.168.3.131,66.235.139.121,56494,80,3,174
72.14.213.103,192.168.3.131,80,57882,2,120
65.54.95.75,192.168.3.131,80,56090,8,3850
192.168.3.131,174.36.30.111,49206,80,1,242
192.168.3.131,72.14.213.102,52209,443,6,813
130.117.72.100,172.16.255.1,443,10638,354,508537
192.168.3.131,206.108.207.155,56169,80,5,282
72.14.213.103,192.168.3.131,80,57884,2,120
192.168.3.131,66.235.139.121,56161,80,3,174
192.168.3.131,74.125.127.148,57213,5480,2,108
65.54.95.75,192.168.3.131,80,56477,7,3488
172.16.255.1,212.8.166.36,10636,443,23,2708
10.0.2.15,70.37.129.34,2551,80,9,1339
192.168.3.131,72.14.213.103,57881,80,2,108
204.14.234.85,192.168.3.131,443,57244,121,116371
10.0.2.15,96.17.8.49,2547,5480,9,989
72.14.213.103,192.168.3.131,80,57881,2,120
72.14.213.103,192.168.3.131,80,57893,2,120
172.16.255.1,189.126.44.128,50983,3192,1,74
172.16.255.1,208.88.186.244,50983,13392,2,231
65.55.116.184,10.0.2.15,5480,2549,5,718
192.168.3.131,72.14.213.103,57886,80,2,108
87.121.79.141,172.16.255.1,29347,50983,2,212
192.168.3.131,204.14.234.85,57244,8443,94,57158
72.14.213.103,192.168.3.131,80,57898,2,120
192.168.3.131,72.14.213.103,57892,80,2,108
192.168.3.131,72.14.213.132,52402,443,13,1734
72.14.213.103,192.168.3.131,80,57892,2,120
10.0.2.3,10.0.2.15,53,59686,2,392
72.14.213.103,192.168.3.131,80,57883,2,120
72.14.213.103,192.168.3.131,80,57894,2,120
72.14.213.103,192.168.3.131,80,57895,2,120
172.16.255.1,218.173.246.133,50983,21363,1,74
172.16.255.1,213.146.189.205,10688,443,13,1317
72.14.213.103,192.168.3.131,80,57899,2,120
79.143.161.140,172.16.255.1,32575,50983,2,529
178.25.111.25,172.16.255.1,33453,50983,2,121
172.16.255.1,213.64.95.196,50983,7892,1,74
192.168.3.131,204.14.234.85,57248,8443,33,23715
65.54.95.75,192.168.3.131,80,56213,5,467
94.248.101.181,172.16.255.1,38685,50983,1,62
72.14.213.103,192.168.3.131,80,57891,2,120
92.255.161.104,172.16.255.1,43708,50983,2,121
212.50.66.122,172.16.255.1,52091,50983,1,62
172.16.255.1,87.121.79.141,50983,29347,2,138
192.168.3.131,204.14.234.85,57248,443,33,23715
172.16.255.1,217.174.56.245,50983,8395,2,534
208.82.236.129,192.168.3.131,80,58265,8,7104
70.37.129.34,10.0.2.15,80,2551,11,7689
190.213.76.21,172.16.255.1,62669,50983,1,60
192.168.3.131,65.54.95.75,56175,80,9,2555
124.144.10.123,172.16.255.1,50583,50983,1,60
208.82.236.129,192.168.3.131,80,58416,5,3082
172.16.255.1,80.221.22.161,50983,30425,1,76
192.168.3.131,65.54.95.68,56092,80,7,1050
2.120.66.172,172.16.255.1,23852,50983,1,68
72.14.213.120,192.168.3.131,443,52497,9,5025
192.168.3.131,76.74.140.168,56499,80,5,1529
208.50.77.73,192.168.3.131,80,57150,1,60
172.16.255.1,89.34.75.134,50983,23924,2,541
172.16.255.1,92.247.222.20,50983,25987,6,1599
172.16.255.1,10.1.1.2,10694,50023,1,66
172.16.255.1,65.35.35.4,50983,34467,2,534
65.54.189.173,10.0.2.15,1863,2528,63,18271
65.54.95.75,192.168.3.131,80,56456,8,5173
65.54.95.75,192.168.3.131,80,56408,5,467
87.5.175.49,172.16.255.1,42341,50983,3,1188
208.50.77.134,192.168.3.131,5480,57204,1,60
72.14.213.103,192.168.3.131,80,57897,2,120
74.217.50.10,192.168.3.131,80,57038,1,60
207.172.53.166,172.16.255.1,42304,50983,2,642
172.16.255.1,184.85.226.161,10646,443,51,21917
172.16.255.1,95.160.236.51,50983,32683,2,148
172.16.255.1,87.5.175.49,50983,42341,3,615
172.16.255.1,194.171.12.150,50983,44386,3,608
192.168.3.131,65.54.95.140,56319,80,11,1564
192.168.3.131,208.50.77.134,57202,5480,2,108
192.168.3.131,72.14.213.103,57898,80,2,108
172.16.255.1,204.9.163.184,10631,12350,2,132
192.168.3.90,10.0.2.15,139,1095,14,1122
10.0.2.15,192.168.3.90,1095,139,12,966
172.16.255.1,79.143.161.140,50983,32575,2,533
172.16.255.1,204.194.237.136,10670,80,6,936
172.16.255.1,204.9.163.158,10630,80,5,501
204.14.234.85,192.168.3.131,8443,57246,59,45356
172.16.255.1,204.9.163.160,10677,35777,2,132
172.16.255.1,148.88.200.63,50983,42843,3,576
172.16.255.1,92.255.161.104,50983,43708,2,541
172.16.255.1,212.8.166.36,10629,12350,2,132
192.168.3.131,206.108.207.145,56054,80,8,2420
204.9.163.181,172.16.255.1,443,10642,13,12022
192.168.3.131,204.9.163.166,58381,80,6,635
65.54.95.75,192.168.3.131,80,56257,8,5452
65.54.95.75,192.168.3.131,80,56256,7,4509
65.54.95.68,192.168.3.131,80,56255,8,5214
208.82.236.129,192.168.3.131,80,58777,7,3782
10.0.2.15,65.55.25.60,2498,5443,2,108
72.14.213.103,192.168.3.131,80,57885,2,120
10.0.2.3,10.0.2.15,53,50559,2,562
172.16.255.1,194.165.188.79,10627,443,9,1121
188.2.252.64,172.16.255.1,43699,50983,5,340
172.16.255.1,99.96.126.9,50983,32178,1,74
10.0.2.15,70.37.129.32,2552,80,10,1372
172.16.255.1,114.46.144.25,50983,29080,1,75
67.84.192.140,172.16.255.1,443,50983,1,68
192.168.3.131,65.54.95.68,56112,80,7,1050
188.163.1.229,172.16.255.1,50709,50983,1,68
188.231.175.85,172.16.255.1,21827,50983,1,251
172.16.255.1,239.255.255.250,54052,1900,2,349
172.16.255.1,190.213.192.39,50983,9009,1,60
172.16.255.1,67.117.28.180,50983,56259,5,300
172.16.255.1,188.2.252.64,50983,43699,5,300
72.14.213.132,192.168.3.131,443,52402,23,26437
192.168.3.131,72.14.213.103,57890,80,2,108
67.82.196.121,172.16.255.1,10662,50983,1,249
172.16.255.1,212.8.163.80,10679,54900,1,66
192.168.3.131,208.82.236.129,58410,80,5,874
192.168.3.131,65.54.95.75,56139,80,42,2958
172.16.255.1,194.165.188.79,10623,33033,2,132
192.168.3.131,72.14.213.103,57901,80,2,108
109.227.83.14,172.16.255.1,6536,50983,1,349
192.168.3.131,65.54.95.75,56256,80,7,1050
192.168.3.131,208.82.236.130,58490,80,7,833
208.82.236.129,192.168.3.131,80,58487,5,2631
192.168.3.131,72.14.213.103,57884,80,2,108
192.168.3.131,72.14.213.102,55950,80,5,1226
192.168.3.131,72.14.213.103,57894,80,2,108
24.193.140.50,172.16.255.1,9911,50983,1,61
172.16.255.1,147.31.122.1,10622,443,88,6780
128.173.201.171,172.16.255.1,23537,50983,1,60
67.163.123.10,172.16.255.1,39466,50983,1,93
88.198.13.111,172.16.255.1,21368,50983,2,528
172.16.255.1,93.181.202.185,50983,30757,1,63
172.16.255.1,75.76.39.18,50983,35877,1,74
65.54.95.68,192.168.3.131,80,56457,32,40124
109.173.29.34,172.16.255.1,443,10690,8,620
147.31.122.1,172.16.255.1,18165,50983,1,60
172.16.255.1,147.31.122.1,50983,18165,1,67
172.16.255.1,67.215.65.132,137,137,3,276
172.16.255.1,82.58.187.140,50983,43187,1,76
156.26.54.15,172.16.255.1,4300,50983,1,93
192.168.3.131,72.14.213.156,57071,80,2,108
172.16.255.1,224.0.0.252,54048,5355,2,128
192.168.3.131,72.14.213.103,57900,80,2,108
172.16.255.1,255.255.255.255,68,67,1,342
67.84.50.244,172.16.255.1,37499,50983,1,68
10.0.2.15,91.103.140.2,2545,80,7,1570
65.54.95.68,192.168.3.131,80,56236,8,5104
109.173.29.34,172.16.255.1,443,10658,7,571
208.50.77.73,192.168.3.131,80,57149,1,60
65.54.95.75,192.168.3.131,80,56234,8,5665
192.168.3.131,65.54.95.68,56235,80,7,1050
65.54.95.140,192.168.3.131,80,56417,41,51914
192.168.3.131,65.54.95.68,56233,80,16,1553
192.168.3.131,72.14.213.103,57882,80,2,108
192.168.3.131,207.46.148.38,56042,80,5,920
172.16.255.1,204.9.163.158,10619,80,5,347
204.9.163.158,172.16.255.1,80,10617,5,581
192.168.3.131,208.82.236.129,58464,80,7,1011
192.168.3.131,65.54.95.68,56068,80,17,4133
91.103.140.2,10.0.2.15,80,2545,8,2690
192.168.3.131,65.54.95.75,56234,80,7,1050
172.16.255.1,204.9.163.184,10634,12350,1,66
76.167.181.32,172.16.255.1,10848,50983,1,533
204.9.163.166,192.168.3.131,80,58443,5,518
192.168.3.131,204.9.163.166,58443,80,6,635
172.16.255.1,128.241.90.211,10654,80,18,1862
207.46.125.253,10.0.2.15,7001,2532,2,124
72.14.213.102,192.168.3.131,443,52204,5,2337
192.168.3.1,192.168.3.131,53,58673,2,1088
192.168.3.131,208.82.236.129,58439,80,5,878
192.168.3.131,72.14.203.102,57878,80,2,108
208.88.186.242,172.16.255.1,13392,50983,1,60
72.14.203.102,192.168.3.131,80,57878,2,120
208.82.236.129,192.168.3.131,80,58434,6,3994
65.54.95.75,192.168.3.131,80,56214,5,467
65.54.95.68,192.168.3.131,80,56235,7,4721
10.0.2.15,10.0.2.3,64982,53,2,162
192.168.3.131,65.54.95.68,56194,80,6,1046
172.16.255.1,130.206.167.238,50983,54002,1,459
65.54.95.68,192.168.3.131,80,56174,123,179907
204.9.163.166,192.168.3.131,80,58411,5,518
192.168.3.131,72.14.213.103,57899,80,2,108
192.168.3.131,204.14.234.85,57245,8443,47,30809
192.168.3.131,72.14.213.102,52214,443,6,813
65.54.95.75,192.168.3.131,80,56111,7,4222
192.168.3.131,204.14.234.101,57231,8443,6,3464
194.165.188.79,172.16.255.1,443,10627,10,937
172.16.255.1,67.215.65.132,10664,443,7,948
192.168.3.131,65.54.95.140,56360,80,7,1352
192.168.3.131,204.9.163.166,58411,80,6,635
192.168.3.131,72.14.213.138,58770,80,9,4633
172.16.255.1,74.75.251.207,50983,39109,1,66
66.220.149.32,192.168.3.131,80,56048,40,33538
65.54.95.140,192.168.3.131,80,56360,6,3856
194.165.188.76,172.16.255.1,443,10635,7,490
204.9.163.181,172.16.255.1,443,10643,9,5806
204.14.234.85,192.168.3.131,5480,57229,2,120
91.103.140.2,10.0.2.15,5480,2545,8,2690
206.108.207.155,192.168.3.131,80,56168,35,49157
72.14.213.103,192.168.3.131,80,57888,2,120
172.16.255.1,10.1.1.2,10695,50023,1,66
172.16.255.1,182.166.37.160,50983,60573,2,532
172.16.255.1,212.8.163.80,50983,54900,6,675
12.129.210.71,192.168.3.131,80,56167,4,2413
72.14.213.102,192.168.3.131,443,52210,5,492
65.54.95.216,192.168.3.131,80,56166,17,19061
208.82.236.130,192.168.3.131,80,58378,9,9258
192.168.3.131,65.54.95.216,56166,80,11,1136
67.117.28.180,172.16.255.1,56259,50983,5,340
192.168.3.131,72.14.213.167,57032,80,2,108
65.54.95.140,192.168.3.131,80,56165,33,44198
204.14.234.85,192.168.3.131,443,57243,148,142853
208.82.236.129,192.168.3.131,80,58766,6,3390
192.168.3.131,65.54.95.140,56165,80,17,1880
66.235.139.121,192.168.3.131,80,56161,8,2516
192.168.3.131,72.14.213.103,57889,80,2,108
208.50.77.134,192.168.3.131,80,57203,1,60
192.168.3.131,65.54.95.66,56057,80,9,2316
192.168.3.131,65.54.95.66,56505,80,7,2702
192.168.3.131,72.14.213.103,57887,80,2,108
172.16.255.1,207.172.53.166,50983,42304,2,137
172.16.255.1,212.8.163.80,10673,54900,2,132
208.82.236.129,192.168.3.131,80,58830,5,2718
192.168.3.131,207.46.148.38,56163,80,5,927
65.54.95.68,192.168.3.131,80,56160,5,468
65.54.95.140,192.168.3.131,80,56031,4,1700
204.9.163.166,192.168.3.131,80,58547,4,458
192.168.3.131,65.54.95.140,56038,80,13,2516
192.168.3.131,72.14.213.18,49673,443,44,2921
192.168.3.131,208.50.77.134,57201,80,2,108
172.16.255.1,66.235.143.184,10648,443,15,6502
192.168.3.131,65.54.95.140,56039,80,14,3170
66.235.133.62,192.168.3.131,80,56361,4,978
72.14.213.103,192.168.3.131,80,57901,2,120
192.168.3.131,65.54.95.39,52266,80,6,631
192.168.3.131,72.14.213.103,57896,80,2,108
65.54.95.140,192.168.3.131,80,56033,4,1207
192.168.3.131,72.14.213.103,57895,80,2,108
192.168.3.131,65.54.95.68,56174,80,57,3759
72.14.213.156,192.168.3.131,80,57071,2,120
192.168.3.131,65.54.95.68,56065,80,54,3597
192.168.3.131,65.55.17.37,55954,80,13,2551
192.168.3.131,65.54.95.140,56033,80,6,921
172.16.255.1,88.198.13.111,50983,21368,2,532
192.168.3.131,66.235.133.62,56323,80,3,174
192.168.3.131,65.54.95.140,56032,80,6,920
172.16.255.1,118.6.206.252,50983,48570,4,298
192.168.3.131,65.54.95.140,56031,80,6,931
207.46.148.38,192.168.3.131,80,56052,4,2095
208.88.186.244,172.16.255.1,13392,50983,2,120
65.54.95.75,192.168.3.131,80,56066,19,22290
65.55.25.60,10.0.2.15,443,2498,1,60
172.16.255.1,69.255.24.214,50983,24506,1,70
109.255.178.86,172.16.255.1,443,10659,8,675
65.54.95.68,192.168.3.131,80,56368,124,179962
192.168.3.131,65.54.95.142,56028,80,7,1012
184.24.143.139,192.168.3.131,80,56023,3,443
145.94.52.184,172.16.255.1,11610,50983,1,60
192.168.3.131,208.82.236.130,58486,80,8,887
192.168.3.131,65.54.95.140,56037,80,22,3005
192.168.3.131,72.14.213.147,52152,443,90,9571
65.54.167.27,10.0.2.15,5480,2548,52,45304
65.54.95.142,192.168.3.131,80,56029,9,7391
172.16.255.1,213.166.51.4,10626,33033,1,66
125.232.97.116,172.16.255.1,60875,50983,1,60
172.16.255.1,194.165.188.76,10628,12350,2,132
147.31.122.1,172.16.255.1,443,10622,86,25086
208.82.236.129,192.168.3.131,80,58439,5,2625
192.168.3.131,65.54.95.68,56430,80,2,120
208.82.236.129,192.168.3.131,80,58750,5,3097
65.54.95.140,192.168.3.131,80,56127,5,1760
192.168.3.131,65.54.95.140,56012,80,18,1381
208.82.236.129,192.168.3.131,80,58360,5,2750
172.16.255.1,212.8.163.80,50983,43400,1,154
172.16.255.1,172.16.0.1,61996,5351,4,216
172.16.255.1,209.105.148.72,50983,56138,1,459
65.54.95.68,192.168.3.131,80,56110,28,35375
207.47.250.146,172.16.255.1,52634,50983,1,498
72.14.213.102,192.168.3.131,443,52213,5,492
74.125.127.148,192.168.3.131,80,57213,1,60
65.54.95.140,192.168.3.131,80,56038,15,15052
174.48.244.28,172.16.255.1,31727,50983,3,584
192.168.3.131,66.220.149.32,56048,80,26,8232
65.54.95.68,192.168.3.131,80,56068,25,26813
65.54.186.19,10.0.2.15,5443,2526,33,21949
72.14.213.103,192.168.3.131,80,57902,2,120
192.168.3.131,66.235.136.89,57242,8443,4,239
192.168.3.1,192.168.3.131,53,60629,2,1084
70.37.129.32,10.0.2.15,5480,2552,12,8473
72.14.213.102,192.168.3.131,443,52212,5,492
204.14.234.85,192.168.3.131,8443,57244,121,116371
192.168.3.131,208.82.236.129,58310,80,7,910
192.168.3.131,65.55.206.199,56022,80,72,12897
172.16.255.1,109.227.83.224,10689,443,9,628
192.168.3.131,72.14.213.102,52215,443,6,813
172.16.255.1,204.9.163.181,10639,443,19,4501
192.168.3.131,65.54.95.68,56160,80,6,1046
172.16.255.1,71.224.25.112,50983,33695,2,157
192.168.3.131,72.14.213.102,52213,443,6,813
204.14.234.85,192.168.3.131,443,57249,12,9592
192.168.3.131,65.54.95.140,56415,80,34,7539
192.168.3.131,72.14.213.102,52212,443,6,813
192.168.3.131,206.108.207.163,56136,80,5,282
64.4.35.57,10.0.2.15,61863,2550,18,1523
65.54.95.75,192.168.3.131,80,56073,29,31469
207.46.0.109,192.168.3.131,80,56320,31,23190
65.54.95.140,192.168.3.131,80,56030,4,1256
65.54.95.142,192.168.3.131,80,56028,7,5494
72.14.213.102,192.168.3.131,443,52207,5,2337
